Id hecho,Vehículo_víctima,Sexo,Edad_víctima,Gravedad
LC-2019-0050276,Sd,F,44,Sd
LC-2019-0050343,Sd,F,30,Sd
LC-2019-0384019,Sd,M,29,Sd
LC-2019-0643230,Sd,M,58,Sd
LC-2019-0050670,Sd,M,64,Sd
LC-2019-0050733,Sd,M,27,Sd
LC-2019-0050947,Sd,M,68,Sd
LC-2019-0050947,Sd,F,68,Sd
LC-2019-0051216,Sd,M,SD,Sd
LC-2019-0051316,Sd,M,SD,Sd
LC-2019-0051414,Sd,M,45,Sd
LC-2019-0051464,Sd,F,SD,Sd
LC-2019-0051464,Sd,M,SD,Sd
LC-2019-0051480,Sd,M,56,Sd
LC-2019-0051508,Sd,F,21,Sd
LC-2019-0051524,Sd,M,SD,Sd
LC-2019-0051547,Sd,M,56,Sd
LC-2019-0051559,Sd,M,28,Sd
LC-2019-0051659,Sd,M,40,Sd
LC-2019-0051671,Sd,M,22,Sd
LC-2019-0051714,Sd,M,40,Sd
LC-2019-0051819,Sd,M,26,Sd
